datetime,open,high,low,close,volume
2018-09-03,7291.94,7340.08,7184.0,7258.99,2829.87707292
2018-09-04,7261.29,7411.85,7231.0,7361.0,4531.14780379
2018-09-05,7353.48,7387.0,6650.0,6679.3,12408.79698551
2018-09-06,6671.95,6705.59,6253.29,6493.09,14674.0236716
2018-09-07,6488.01,6525.0,6322.0,6400.0,6541.96747088
2018-09-08,6401.01,6465.46,6113.23,6178.31,4284.19484304
2018-09-09,6178.31,6451.51,6094.38,6236.04,4104.31379555
2018-09-10,6238.99,6351.13,6223.9,6301.99,5371.72530672
2018-09-11,6303.99,6405.0,6162.06,6279.99,7076.79725968
2018-09-12,6274.6,6350.0,6192.89,6322.45,4282.15960066
2018-09-13,6326.83,6537.46,6324.37,6485.7,6985.34747474
2018-09-14,6482.95,6587.0,6384.36,6476.51,4598.02098322
2018-09-15,6476.51,6570.1,6466.74,6520.15,1328.81956289
2018-09-16,6521.49,6524.84,6349.47,6499.98,1098.62806031
2018-09-17,6499.28,6530.24,6200.0,6254.52,4386.88772482
2018-09-18,6251.49,6390.0,6226.63,6332.34,4196.47314808
2018-09-19,6330.0,6510.0,6100.0,6388.4,7232.08338006
2018-09-20,6388.4,6535.11,6333.63,6492.98,5177.64510387
2018-09-21,6492.98,6775.34,6483.83,6749.45,8569.98587321
2018-09-22,6748.85,6826.28,6624.79,6710.01,5491.80951385
2018-09-23,6710.01,6774.91,6659.0,6702.22,3248.80491931
2018-09-24,6703.37,6721.68,6550.96,6581.52,4030.72562001
2018-09-25,6578.7,6579.59,6324.96,6428.99,8206.61700477
2018-09-26,6428.09,6540.0,6379.44,6461.51,4295.92674134
2018-09-27,6454.32,6736.85,6431.95,6681.62,5664.85211251
2018-09-28,6684.5,6792.28,6525.67,6610.76,7642.04936428
2018-09-29,6609.02,6609.02,6454.0,6579.38,3382.01592212
2018-09-30,6574.29,6628.06,6510.0,6597.81,2482.69507513
2018-10-01,6597.79,6638.15,6477.57,6571.2,4796.040132
2018-10-02,6569.32,6597.0,6447.28,6500.0,4116.13342419
2018-10-03,6500.0,6510.0,6396.34,6456.77,4774.76328174
